agency_cd,site_no,datetime,Discharge (Mean),19083_00060_00003_cd,Temperature (Max),19084_00010_00001_cd,Temperature (Min),19085_00010_00002_cd,Specific Conductance (Mean),19086_00095_00003_cd,Specific Conductance (Max),225562_00095_00001_cd,Specific Conductance (Min),225563_00095_00002_cd,Temperature (Mean),225648_00010_00003_cd,Dissolved Oxygen (Min),291098_00300_00002_cd,Dissolved Oxygen (Max),291099_00300_00001_cd,Dissolved Oxygen (Mean),291100_00300_00003_cd,pH (Median),291115_00400_00008_cd,pH (Min),291116_00400_00002_cd,Turbidity (Min),291117_63680_00002_cd,Turbidity (Median),291118_63680_00008_cd,pH (Max),291119_00400_00001_cd,Turbidity (Max),291120_63680_00001_cd
USGS,9163500,2021-06-10,6710,A,19.5,A,18,A,594,A,604,A,576,A,18.9,A,,,7.8,A:[4],,,8.1,A,8.1,A,40.1,P,47.8,P,8.2,A,55,P
USGS,9163500,2021-06-11,6130,A,19.4,A,17.4,A,622,A,640,A,603,A,18.5,A,7.6,A,8.1,A,7.9,A,8.2,A,8.2,A,35.2,P,39.5,P,8.3,A,41.1,P
USGS,9163500,2021-06-12,5700,A,20.2,A,18.1,A,656,A,670,A,637,A,19.1,A,7.6,A,8.1,A,7.9,A,8.3,A,8.2,A,31.1,P,35.7,P,8.3,A,72.9,P
USGS,9163500,2021-06-13,5250,A,20.9,A,19,A,687,A,705,A,670,A,19.9,A,7.5,A,8.1,A,7.8,A,8.3,A,8.3,A,29.2,P,31.8,P,8.3,A,36.1,P
USGS,9163500,2021-06-14,4960,A,21.8,A,19.8,A,717,A,734,A,704,A,20.8,A,7.4,A,8.2,A,7.8,A,8.3,A,8.3,A,23.3,P,28.5,P,8.4,A,29.6,P
USGS,9163500,2021-06-15,4570,A,22.1,A,20.3,A,752,A,769,A,734,A,21.2,A,7.3,A,8.3,A,7.8,A,8.4,A,8.4,A,22.7,P,25,P,8.4,A,26.9,P
USGS,9163500,2021-06-16,4230,A,23.3,A,20.9,A,785,A,799,A,769,A,22.1,A,7.2,A,8.4,A,7.7,A,8.4,A,8.4,A,20.5,P,23.6,P,8.5,A,26.4,P
USGS,9163500,2021-06-17,4020,A,24.2,A,21.7,A,816,A,823,A,798,A,22.8,A,7.1,A,8.5,A,7.7,A,8.4,A,8.4,A,19,P,21.1,P,8.5,A,23.6,P
USGS,9163500,2021-06-18,3870,A,24.2,A,22.3,A,838,A,852,A,823,A,23.3,A,6.9,A,8.4,A,7.6,A,8.5,A,8.4,A,17.3,P,19.1,P,8.5,A,27.5,P
USGS,9163500,2021-06-19,3710,A,24.2,A,22.4,A,863,A,876,A,836,A,23.2,A,6.9,A,8.6,A,7.7,A,8.5,A,8.4,A,17.2,P,21.7,P,8.6,A,37.6,P
USGS,9163500,2021-06-20,3690,A,24,A,21.8,A,889,A,903,A,867,A,22.9,A,6.9,A,8.9,A,7.8,A,8.5,A,8.4,A,19.6,P,22.5,P,8.6,A,29.1,P
USGS,9163500,2021-06-21,3660,A,24.3,A,21.4,A,913,A,929,A,894,A,22.8,A,7,A,8.8,A,7.8,A,8.5,A,8.2,A,19.1,P,29.9,P,8.5,A,70,P
USGS,9163500,2021-06-22,3310,A,24,A,22.2,A,919,A,933,A,900,A,23.1,A,6.9,A,8.9,A,7.9,A,8.5,A,8.4,A,23.3,P,27,P,8.6,A,41.3,P
USGS,9163500,2021-06-23,3020,A,22.5,A,21.1,A,956,A,970,A,930,A,21.7,A,7,A,8,A,7.5,A,8.4,A,8.4,A,20,P,22,P,8.6,A,25.9,P
USGS,9163500,2021-06-24,2910,A,21.8,A,20.5,A,987,A,1000,A,967,A,21.1,A,7.2,A,8.6,A,7.9,A,8.4,A,8.4,A,19.9,P,22.3,P,8.5,A,25.7,P
