agency_cd,site_no,datetime,Dissolved Oxygen (Mean),273457_00300_00003_cd,Dissolved Oxygen (Min),273458_00300_00002_cd,Dissolved Oxygen (Max),273461_00300_00001_cd
USGS,9095500,2020-08-27,,,,,9.4,A:[4]
USGS,9095500,2020-08-28,7.4,A,6.3,A,9.1,A
USGS,9095500,2020-08-29,7.6,A,6.4,A,9.5,A
USGS,9095500,2020-08-30,7.9,A,6.8,A,9.7,A
USGS,9095500,2020-08-31,7.3,A,6.6,A,9.2,A
USGS,9095500,2020-09-01,7.9,A,7.1,A,9,A
USGS,9095500,2020-09-02,8.1,A,7.2,A,9.5,A
USGS,9095500,2020-09-03,8.1,A,7.1,A,9.6,A
USGS,9095500,2020-09-04,8,A,7,A,9.6,A
USGS,9095500,2020-09-05,7.9,A,6.9,A,9.4,A
USGS,9095500,2020-09-06,7.9,A,6.9,A,9.4,A
USGS,9095500,2020-09-07,7.8,A,6.9,A,9.2,A
USGS,9095500,2020-09-08,7.9,A,7.1,A,8.6,A
USGS,9095500,2020-09-09,8.7,A,8.4,A,8.9,A
USGS,9095500,2020-09-10,9,A,8.5,A,9.5,A
USGS,9095500,2020-09-11,9,A,8.4,A,9.8,A
USGS,9095500,2020-09-12,9,A,8.1,A,10.1,A
USGS,9095500,2020-09-13,8.8,A,7.9,A,10.2,A
USGS,9095500,2020-09-14,8.6,A,7.7,A,10,A
USGS,9095500,2020-09-15,8.5,A,7.6,A,9.9,A
USGS,9095500,2020-09-16,8.4,A,7.5,A,9.7,A
USGS,9095500,2020-09-17,8.5,A,7.7,A,9.7,A
USGS,9095500,2020-09-18,8.5,A,7.7,A,9.7,A
USGS,9095500,2020-09-19,8.4,A,7.7,A,9.4,A
USGS,9095500,2020-09-20,8.4,A,7.6,A,9.6,A
USGS,9095500,2020-09-21,8.4,A,7.6,A,9.7,A
USGS,9095500,2020-09-22,8.4,A,7.6,A,9.5,A
USGS,9095500,2020-09-23,8.4,A,7.6,A,9.7,A
USGS,9095500,2020-09-24,8.3,A,7.5,A,9.5,A
USGS,9095500,2020-09-25,8.3,A,7.5,A,9.5,A
USGS,9095500,2020-09-26,8.3,A,7.5,A,9.5,A
USGS,9095500,2020-09-27,8.4,A,7.6,A,9.5,A
