agency_cd,site_no,datetime,Temperature (Max),142803_00010_00001_cd,Temperature (Min),142804_00010_00002_cd,Temperature (Mean),142805_00010_00003_cd,Discharge (Mean),142806_00060_00003_cd,Dissolved Oxygen (Min),306632_00300_00002_cd,Dissolved Oxygen (Max),306633_00300_00001_cd,Specific Conductance (Min),306634_00095_00002_cd,Specific Conductance (Mean),306635_00095_00003_cd,pH (Min),306636_00400_00002_cd,Dissolved Oxygen (Mean),306637_00300_00003_cd,pH (Max),306638_00400_00001_cd,Specific Conductance (Max),306639_00095_00001_cd,pH (Median),306640_00400_00008_cd,Turbidity (Min),314973_63680_00002_cd,Turbidity (Mean),314974_63680_00003_cd,Turbidity (Max),314975_63680_00001_cd
USGS,9261000,2021-10-29,9.6,A,7.4,A,8.4,A,1680,A,9.4,P,10.1,P,570,P,578,P,8.3,P,9.9,P,8.5,P,587,P,8.5,P,81.2,P,178,P,269,P
USGS,9261000,2021-10-30,9.7,A,7.5,A,8.6,A,1720,A,9.4,P,10.2,P,575,P,578,P,8.3,P,9.8,P,8.5,P,583,P,8.5,P,87.7,P,160,P,242,P
USGS,9261000,2021-10-31,10.1,A,8.3,A,9.2,A,1730,A,9.4,P,9.9,P,568,P,570,P,8.4,P,9.6,P,8.5,P,575,P,8.5,P,143,P,177,P,270,P
USGS,9261000,2021-11-01,9.6,A,8.5,A,9.1,A,1650,A,9.5,P,9.9,P,564,P,569,P,8.4,P,9.7,P,8.5,P,577,P,8.5,P,127,P,169,P,221,P
USGS,9261000,2021-11-02,9.7,A,8.9,A,9.3,A,1580,A,9.5,P,9.7,P,576,P,579,P,8.5,P,9.6,P,8.5,P,580,P,8.5,P,216,P,684,P,994,P
USGS,9261000,2021-11-03,9.9,A,8.3,A,9.1,A,1540,A,9.4,P,10,P,567,P,569,P,8.4,P,9.8,P,8.5,P,576,P,8.5,P,125,P,272,P,598,P
USGS,9261000,2021-11-04,9.5,A,7.4,A,8.5,A,1510,A,9.5,P,10.3,P,563,P,564,P,8.4,P,9.9,P,8.6,P,568,P,8.5,P,111,P,133,P,159,P
USGS,9261000,2021-11-05,9.3,A,7.2,A,8.3,A,1490,A,9.5,P,10.4,P,558,P,560,P,8.4,P,9.9,P,8.6,P,564,P,8.5,P,94.9,P,121,P,178,P
USGS,9261000,2021-11-06,9.2,A,7,A,8.2,A,1550,A,9.5,P,10.3,P,553,P,556,P,8.4,P,10,P,8.6,P,558,P,8.5,P,75.1,P,107,P,128,P
USGS,9261000,2021-11-07,9.4,A,7,A,8.1,A,1580,A,9.5,P,10.3,P,549,P,551,P,8.4,P,9.9,P,8.6,P,553,P,8.5,P,93.2,P,118,P,288,P
USGS,9261000,2021-11-08,9.1,A,7.7,A,8.5,A,1580,A,9.6,P,10.2,P,548,P,550,P,8.5,P,9.9,P,8.6,P,551,P,8.5,P,88.2,P,112,P,268,P
USGS,9261000,2021-11-09,8.5,A,7.1,A,7.8,A,1550,A,9.7,P,10.3,P,549,P,551,P,8.5,P,10,P,8.6,P,552,P,8.5,P,90.8,P,126,P,493,P
USGS,9261000,2021-11-10,8.5,A,7.3,A,7.9,A,1530,A,9.7,P,10.4,P,545,P,546,P,8.5,P,10,P,8.6,P,549,P,8.5,P,84,P,109,P,149,P
USGS,9261000,2021-11-11,7.8,A,5.9,A,6.8,A,1490,A,9.9,P,10.8,P,546,P,547,P,8.4,P,10.4,P,8.6,P,548,P,8.5,P,71.7,P,89.9,P,117,P
USGS,9261000,2021-11-12,7.6,A,5.7,A,6.6,A,1490,A,10,P,10.9,P,547,P,548,P,8.5,P,10.5,P,8.6,P,551,P,8.5,P,60.5,P,78.3,P,107,P
USGS,9261000,2021-11-13,7.4,A,5.6,A,6.5,A,1480,A,10,P,10.9,P,549,P,551,P,8.5,P,10.5,P,8.6,P,553,P,8.5,P,54.7,P,73.4,P,102,P
USGS,9261000,2021-11-14,7,A,5.4,A,6.3,A,1490,A,10.1,P,11,P,553,P,556,P,8.5,P,10.5,P,8.6,P,558,P,8.5,P,49.6,P,99.1,P,1050,P
USGS,9261000,2021-11-15,7.9,A,5.8,A,6.8,A,1480,A,9.9,P,10.9,P,556,P,556,P,8.5,P,10.4,P,8.6,P,557,P,8.6,P,45.7,P,67.2,P,189,P
USGS,9261000,2021-11-16,7.4,A,5.7,A,6.6,A,1460,A,9.9,P,10.8,P,511,P,559,P,8.5,P,10.3,P,8.6,P,561,P,8.6,P,48.5,P,56.5,P,87.7,P
USGS,9261000,2021-11-17,7.2,A,5.5,A,6.2,A,1440,A,10,P,11,P,559,P,560,P,8.5,P,10.5,P,8.6,P,562,P,8.6,P,41.7,P,56,P,81.8,P
USGS,9261000,2021-11-18,6.2,A,3.8,A,4.7,A,1440,A,10.3,P,11.5,P,559,P,561,P,8.5,P,11,P,8.6,P,563,P,8.5,P,41.8,P,52.8,P,86.8,P
USGS,9261000,2021-11-19,4.8,A,3.5,A,4.1,A,1420,A,10.7,P,11.6,P,562,P,564,P,8.5,P,11.1,P,8.6,P,566,P,8.5,P,36,P,49.3,P,59.2,P
USGS,9261000,2021-11-20,5.2,A,3.4,A,4.3,A,1430,A,10.7,P,11.4,P,564,P,566,P,8.5,P,11.1,P,8.6,P,567,P,8.5,P,32.7,P,46.1,P,74.3,P
USGS,9261000,2021-11-21,5.1,A,3.4,A,4.2,A,1460,A,10.7,P,11.6,P,563,P,564,P,8.5,P,11.1,P,8.6,P,566,P,8.5,P,36.4,P,49.3,P,106,P
USGS,9261000,2021-11-22,4.6,A,2.8,A,3.7,A,1410,A,10.8,P,11.7,P,564,P,566,P,8.5,P,11.3,P,8.6,P,569,P,8.5,P,39.4,P,51.5,P,65.1,P
USGS,9261000,2021-11-23,4,A,2.1,A,2.9,A,1350,A,10.9,P,11.8,P,569,P,574,P,8.5,P,11.4,P,8.6,P,579,P,8.6,P,38.5,P,47.5,P,68.6,P
USGS,9261000,2021-11-24,3.4,A,1.9,A,2.7,A,1420,A,11,P,11.8,P,572,P,576,P,8.5,P,11.4,P,8.6,P,580,P,8.5,P,34.2,P,44.9,P,55.4,P
USGS,9261000,2021-11-25,3.3,A,1.4,A,2.2,A,1410,A,11.2,P,12.2,P,573,P,575,P,8.5,P,11.8,P,8.6,P,577,P,8.5,P,34.3,P,44.3,P,62.4,P
USGS,9261000,2021-11-26,2.5,A,0.6,A,1.6,A,1360,A,11.4,P,12.3,P,573,P,576,P,8.5,P,12,P,8.6,P,579,P,8.5,P,27.1,P,36.5,P,64.4,P
USGS,9261000,2021-11-27,2.4,A,0.5,A,1.5,A,1290,A,11.4,P,12.3,P,579,P,587,P,8.5,P,11.9,P,8.6,P,589,P,8.5,P,19.6,P,35.8,P,92.3,P
USGS,9261000,2021-11-28,3,A,0.9,A,2,A,1310,A,11.3,P,12.2,P,585,P,591,P,8.5,P,11.8,P,8.6,P,594,P,8.5,P,30.2,P,43.6,P,249,P
